MAJ ETE 2016
MAJ HIVER 2016/2017

W ; JIB ; CDG ; 07h55 ; ; 340
W ; CDG ; HAV ; 11h00 ; AF4012 ; 340
W ; HAV ; CDG ; 08h55 ; AF4013 ; 340
W ; CDG ; SXM ; 09h10 ; ; 340
W ; SXM ; CDG ; 08h10 ; ; 340
W ; CDG ; TNR ; 10h55 ; ; 340
W ; TNR ; CDG ; 11h15 ; ; 340
W ; CDG ; IKA ; 05h30 ; AF 738 ; 340
W ; IKA ; CDG ; 05h55 ; AF 755 ; 340
W ; NIM ; LFW ; 01h30 ; AF 306 ; 340
W ; LFW ; NIM ; 01h30 ; AF 339 ; 340
W ; CDG ; LOS ; 06h20 ; AF 148 ; 340
W ; CDG ; LOS ; 06h20 ; AF 404 ; 340
W ; LOS ; PHC ; 01h05 ; AF 404 ; 340
W ; PHC ; LOS ; 01h05 ; AF 415 ; 340
W ; OUA ; ABJ ; 01h25 ; AF 524 ; 340
W ; OUA ; ABJ ; 01h25 ; AF 530 ; 340
